粤BV3959,114.026901,22.62047,2016-10-31 23:59:57,1545837,0,9,0,,,0,黄色,
粤SV258E,113.780602,22.800116,2016-11-01 00:00:01,1532839,22,260,0,,,0,,
粤B1BU47,114.065399,22.630117,2016-11-01 00:00:00,1347854,4,45,0,,,1,蓝色,
粤SU115V,113.800201,22.931967,2016-11-01 00:00:01,1530855,0,0,1,,,0,,
粤BS5531,113.912422,22.578089,2016-11-01 00:00:00,1550070,0,0,1,,,0,黄色,
粤B35604,113.894218,22.565132,2016-11-01 00:00:00,1462260,0,135,0,,,0,蓝色,
粤SU547W,113.72242,22.979666,2016-11-01 00:00:01,1531968,93,222,0,,,0,,
粤B33874,114.043701,22.567551,2016-11-01 00:00:01,1462248,17,90,0,,,1,蓝色,
粤SJ490M,113.685898,22.972866,2016-11-01 00:00:01,1450117,0,0,0,,,0,,
粤B2A2S7,113.978699,22.561899,2016-10-31 23:58:46,1656790,27,0,0,,,0,蓝色,
粤B8WN20,113.997818,22.529467,2016-11-01 00:00:00,1430999,81,225,0,,,1,蓝色,
粤B4HL18,114.022499,22.6199,2016-10-31 23:59:59,1370187,0,0,0,,,0,蓝色,
粤BG4218,114.109421,22.541767,2016-10-31 23:59:26,1494435,0,0,1,,,1,蓝色,
粤B4A6S3,114.025597,22.6301,2016-10-31 23:58:46,1656795,22,0,0,,,0,蓝色,
粤B1Q4D0,113.940353,22.553749,2016-10-31 23:59:59,1554763,0,180,0,,,0,蓝色,
粤BP5161,113.851929,22.783764,2016-10-31 23:59:58,1546076,0,345,0,,,0,黄色,
粤B33551,114.102165,22.543983,2016-10-31 23:59:27,1460332,0,0,1,,,0,蓝色,
粤B33551,114.09993,22.5436,2016-10-31 23:59:55,1460332,8,225,0,,,0,蓝色,
粤BL0F25,113.872665,22.591034,2016-10-31 23:59:59,1230900,0,140,0,,,0,蓝色,
粤B4V1P2,113.834503,22.619101,2016-10-31 23:58:48,1569791,0,0,0,,,0,蓝色,
